CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
273,2012,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,13","89,32",,,,
273,2013,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"79,01","88,75","21,05",,,
273,2014,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,16","89,12","13,7","98,7",,
273,2015,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"79,63","89,19","9,3","98,04","45,61","35,09"
276,2011,GRADUADO/A EN FILOLOGÍA CLÁSICA,"52,45","68,68",,,,
276,2012,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,13","75,4",,,,
276,2013,GRADUADO/A EN FILOLOGÍA CLÁSICA,"72,4","82,47","47,37",,,
276,2014,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,98","76,14","40,91","97,04",,
276,2015,GRADUADO/A EN FILOLOGÍA CLÁSICA,"60,84","75,43","31,25","99,72","21,05","57,89"
277,2011,GRADUADO/A EN ESTUDIOS FRANCESES,"54,71","67,74",,,,
277,2012,GRADUADO/A EN ESTUDIOS FRANCESES,"65,04","75,72",,,,
277,2013,GRADUADO/A EN ESTUDIOS FRANCESES,"68,24","79,28","31,43",,,
277,2014,GRADUADO/A EN ESTUDIOS FRANCESES,"70,41","80,97","28,77","96,64",,
277,2015,GRADUADO/A EN ESTUDIOS FRANCESES,"71,53","79,13","37,14","95,82","34,29","54,29"
279,2011,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"48,77","68,53",,,,
279,2012,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"57,94","81,47",,,,
279,2013,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"73,5","86,63","35,48",,,
279,2014,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"68,48","87,18","47,37",,,
279,2015,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"69,01","86,04","37,78","97,56","6,45","48,39"
283,2011,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"68,26","80,1",,,,
283,2012,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"82,82","90,8",,,,
283,2013,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"79,14","88,95","26,09",,,
283,2014,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"83,4","91,48","8,45",98,,
283,2015,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"83,35","92,01","18,31","97,98","50,72","33,33"
285,2011,GRADUADO/A EN ESTUDIOS INGLESES,77,"82,96",,,,
285,2012,GRADUADO/A EN ESTUDIOS INGLESES,"72,42","81,95",,,,
285,2013,GRADUADO/A EN ESTUDIOS INGLESES,"75,06","83,71","11,43",,,
285,2014,GRADUADO/A EN ESTUDIOS INGLESES,"75,26","82,98","15,28","97,45",,
285,2015,GRADUADO/A EN ESTUDIOS INGLESES,"73,71","81,89","14,69","99,3","37,86","25,71"
286,2011,GRADUADO/A EN LOGOPEDIA,"77,57","87,45",,,,
286,2012,GRADUADO/A EN LOGOPEDIA,"86,83","91,6",,,,
286,2013,GRADUADO/A EN LOGOPEDIA,"93,71","94,32","25,81",,,
286,2014,GRADUADO/A EN LOGOPEDIA,"92,29","93,96","11,94","98,61",,
286,2015,GRADUADO/A EN LOGOPEDIA,"91,74","94,62","5,63","98,77",50,"37,1"
287,2011,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"67,59","72,26",,,,
287,2012,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"63,69","70,75",,,,
287,2013,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"66,39","71,3","9,17",,,
287,2014,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"69,14","73,39","17,89","97,52",,
