CODIGO,CURSO,TITULO,TASA ABANDONO
496,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
496,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"83,33"
507,2011,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2012,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2013,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2014,GRADUADO/A EN ENFERMERÍA (MELILLA),
507,2015,GRADUADO/A EN ENFERMERÍA (MELILLA),"11,67"
514,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
514,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),
528,2015,GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),
533,2011,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2012,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2013,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2014,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),
533,2015,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"52,94"
535,2011,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2012,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2013,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2014,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
535,2015,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),
536,2014,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),
537,2011,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2012,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2013,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
537,2014,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
538,2011,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2012,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2013,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2014,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
538,2015,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
539,2011,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
539,2012,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
539,2013,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
539,2014,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),
